,fare,name_from,name_to,node_from,node_to,key
0,129,Dublin/ Pleasanton,West Dublin/Pleasanton,15538,15545,1553815545
1,129,Dublin/ Pleasanton,Castro Valley,15538,15537,1553715538
2,325,Dublin/ Pleasanton,Fremont,15538,15526,1552615538
3,304,Dublin/ Pleasanton,Union City,15538,15527,1552715538
4,269,Dublin/ Pleasanton,South Hayward,15538,15528,1552815538
5,252,Dublin/ Pleasanton,Hayward,15538,15529,1552915538
6,129,Dublin/ Pleasanton,Bay Fair,15538,15530,1553015538
7,248,Dublin/ Pleasanton,San Leandro,15538,15531,1553115538
8,266,Dublin/ Pleasanton,Coliseum/Oakland Airport,15538,15532,1553215538
9,280,Dublin/ Pleasanton,Fruitvale,15538,15533,1553315538
10,297,Dublin/ Pleasanton,Lake Merritt,15538,15534,1553415538
11,360,Dublin/ Pleasanton,Richmond,15538,15520,1552015538
12,346,Dublin/ Pleasanton,El Cerrito Del Norte,15538,15521,1552115538
13,336,Dublin/ Pleasanton,El Cerrito Plaza,15538,15522,1552215538
14,322,Dublin/ Pleasanton,North Berkeley,15538,15524,1552415538
15,318,Dublin/ Pleasanton,Berkeley,15538,15523,1552315538
16,315,Dublin/ Pleasanton,Ashby,15538,15525,1552515538
17,476,Dublin/ Pleasanton,Pittsburg/ Bay Point,15538,15536,1553615538
18,441,Dublin/ Pleasanton,North Concord,15538,15535,1553515538
19,427,Dublin/ Pleasanton,Concord,15538,15501,1550115538
20,399,Dublin/ Pleasanton,Pleasant Hill,15538,15502,1550215538
21,388,Dublin/ Pleasanton,Walnut Creek,15538,15503,1550315538
22,364,Dublin/ Pleasanton,Lafayette,15538,15504,1550415538
23,339,Dublin/ Pleasanton,Orinda,15538,15505,1550515538
24,304,Dublin/ Pleasanton,Rockridge,15538,15506,1550615538
25,304,Dublin/ Pleasanton,MacArthur,15538,15507,1550715538
26,297,Dublin/ Pleasanton,19th St Oakland,15538,15508,1550815538
27,297,Dublin/ Pleasanton,12th St Oakland City Center,15538,15509,1550915538
28,304,Dublin/ Pleasanton,West Oakland,15538,15510,1551015538
29,416,Dublin/ Pleasanton,Embarcadero,15538,15511,1551115538
30,416,Dublin/ Pleasanton,Montgomery,15538,15512,1551215538
31,416,Dublin/ Pleasanton,Powell,15538,15513,1551315538
32,416,Dublin/ Pleasanton,Civic Center,15538,15514,1551415538
33,420,Dublin/ Pleasanton,16th St Mission,15538,15515,1551515538
34,423,Dublin/ Pleasanton,24th St Mission,15538,15516,1551615538
35,434,Dublin/ Pleasanton,Glen Park,15538,15517,1551715538
36,437,Dublin/ Pleasanton,Balboa Park,15538,15518,1551815538
37,448,Dublin/ Pleasanton,Daly City,15538,15519,1551915538
38,444,Dublin/ Pleasanton,Colma,15538,15539,1553815539
39,458,Dublin/ Pleasanton,South San Francisco,15538,15540,1553815540
40,476,Dublin/ Pleasanton,San Bruno,15538,15541,1553815541
41,787,Dublin/ Pleasanton,SFO,15538,15542,1553815542
42,497,Dublin/ Pleasanton,Millbrae,15538,15543,1553815543
43,129,West Dublin/Pleasanton,Castro Valley,15545,15537,1553715545
44,315,West Dublin/Pleasanton,Fremont,15545,15526,1552615545
45,294,West Dublin/Pleasanton,Union City,15545,15527,1552715545
46,259,West Dublin/Pleasanton,South Hayward,15545,15528,1552815545
47,241,West Dublin/Pleasanton,Hayward,15545,15529,1552915545
48,129,West Dublin/Pleasanton,Bay Fair,15545,15530,1553015545
49,238,West Dublin/Pleasanton,San Leandro,15545,15531,1553115545
50,255,West Dublin/Pleasanton,Coliseum/Oakland Airport,15545,15532,1553215545
51,269,West Dublin/Pleasanton,Fruitvale,15545,15533,1553315545
52,287,West Dublin/Pleasanton,Lake Merritt,15545,15534,1553415545
53,350,West Dublin/Pleasanton,Richmond,15545,15520,1552015545
54,336,West Dublin/Pleasanton,El Cerrito Del Norte,15545,15521,1552115545
55,325,West Dublin/Pleasanton,El Cerrito Plaza,15545,15522,1552215545
56,311,West Dublin/Pleasanton,North Berkeley,15545,15524,1552415545
57,308,West Dublin/Pleasanton,Berkeley,15545,15523,1552315545
58,301,West Dublin/Pleasanton,Ashby,15545,15525,1552515545
59,465,West Dublin/Pleasanton,Pittsburg/ Bay Point,15545,15536,1553615545
60,430,West Dublin/Pleasanton,North Concord,15545,15535,1553515545
61,416,West Dublin/Pleasanton,Concord,15545,15501,1550115545
62,388,West Dublin/Pleasanton,Pleasant Hill,15545,15502,1550215545
63,378,West Dublin/Pleasanton,Walnut Creek,15545,15503,1550315545
64,353,West Dublin/Pleasanton,Lafayette,15545,15504,1550415545
65,329,West Dublin/Pleasanton,Orinda,15545,15505,1550515545
66,294,West Dublin/Pleasanton,Rockridge,15545,15506,1550615545
67,294,West Dublin/Pleasanton,MacArthur,15545,15507,1550715545
68,287,West Dublin/Pleasanton,19th St Oakland,15545,15508,1550815545
69,287,West Dublin/Pleasanton,12th St Oakland City Center,15545,15509,1550915545
70,294,West Dublin/Pleasanton,West Oakland,15545,15510,1551015545
71,402,West Dublin/Pleasanton,Embarcadero,15545,15511,1551115545
72,402,West Dublin/Pleasanton,Montgomery,15545,15512,1551215545
73,402,West Dublin/Pleasanton,Powell,15545,15513,1551315545
74,402,West Dublin/Pleasanton,Civic Center,15545,15514,1551415545
75,409,West Dublin/Pleasanton,16th St Mission,15545,15515,1551515545
76,413,West Dublin/Pleasanton,24th St Mission,15545,15516,1551615545
77,423,West Dublin/Pleasanton,Glen Park,15545,15517,1551715545
78,427,West Dublin/Pleasanton,Balboa Park,15545,15518,1551815545
79,434,West Dublin/Pleasanton,Daly City,15545,15519,1551915545
80,434,West Dublin/Pleasanton,Colma,15545,15539,1553915545
81,444,West Dublin/Pleasanton,South San Francisco,15545,15540,1554015545
82,462,West Dublin/Pleasanton,San Bruno,15545,15541,1554115545
83,776,West Dublin/Pleasanton,SFO,15545,15542,1554215545
84,486,West Dublin/Pleasanton,Millbrae,15545,15543,1554315545
85,252,Castro Valley,Fremont,15537,15526,1552615537
86,224,Castro Valley,Union City,15537,15527,1552715537
87,178,Castro Valley,South Hayward,15537,15528,1552815537
88,129,Castro Valley,Hayward,15537,15529,1552915537
89,129,Castro Valley,Bay Fair,15537,15530,1553015537
90,129,Castro Valley,San Leandro,15537,15531,1553115537
91,171,Castro Valley,Coliseum/Oakland Airport,15537,15532,1553215537
92,192,Castro Valley,Fruitvale,15537,15533,1553315537
93,224,Castro Valley,Lake Merritt,15537,15534,1553415537
94,287,Castro Valley,Richmond,15537,15520,1552015537
95,273,Castro Valley,El Cerrito Del Norte,15537,15521,1552115537
96,259,Castro Valley,El Cerrito Plaza,15537,15522,1552215537
97,248,Castro Valley,North Berkeley,15537,15524,1552415537
98,245,Castro Valley,Berkeley,15537,15523,1552315537
99,238,Castro Valley,Ashby,15537,15525,1552515537
100,402,Castro Valley,Pittsburg/ Bay Point,15537,15536,1553615537
101,367,Castro Valley,North Concord,15537,15535,1553515537
102,353,Castro Valley,Concord,15537,15501,1550115537
103,325,Castro Valley,Pleasant Hill,15537,15502,1550215537
104,315,Castro Valley,Walnut Creek,15537,15503,1550315537
105,290,Castro Valley,Lafayette,15537,15504,1550415537
106,266,Castro Valley,Orinda,15537,15505,1550515537
107,231,Castro Valley,Rockridge,15537,15506,1550615537
108,231,Castro Valley,MacArthur,15537,15507,1550715537
109,224,Castro Valley,19th St Oakland,15537,15508,1550815537
110,224,Castro Valley,12th St Oakland City Center,15537,15509,1550915537
111,231,Castro Valley,West Oakland,15537,15510,1551015537
112,339,Castro Valley,Embarcadero,15537,15511,1551115537
113,339,Castro Valley,Montgomery,15537,15512,1551215537
114,339,Castro Valley,Powell,15537,15513,1551315537
115,339,Castro Valley,Civic Center,15537,15514,1551415537
116,346,Castro Valley,16th St Mission,15537,15515,1551515537
117,350,Castro Valley,24th St Mission,15537,15516,1551615537
118,360,Castro Valley,Glen Park,15537,15517,1551715537
