,Dublin/ Pleasanton,West Dublin/Pleasanton,Castro Valley,Fremont,Union City,South Hayward,Hayward,Bay Fair,San Leandro,Coliseum/Oakland Airport,Fruitvale,Lake Merritt,Richmond,El Cerrito Del Norte,El Cerrito Plaza,North Berkeley,Berkeley,Ashby,Pittsburg/ Bay Point,North Concord,Concord,Pleasant Hill,Walnut Creek,Lafayette,Orinda,Rockridge,MacArthur,19th St Oakland,12th St Oakland City Center,West Oakland,Embarcadero,Montgomery,Powell,Civic Center,16th St Mission,24th St Mission,Glen Park,Balboa Park,Daly City,Colma,South San Francisco,San Bruno,SFO,Oakland International Airport,Warm Springs,Milpitas,Berryessa,Alum Rock,Downtown San Jose,Diridon-Caltrain,Santa Clara,Irvington,Millbrae,Alameda,Mission Rock,Ballpark ,3rd and Mission,Union Square,Van Ness,Fillmore,14th Street,11th Street,Eastlake,Howard Terminal
Dublin/ Pleasanton,0,129,129,325,304,269,252,129,248,266,280,297,360,346,336,322,318,315,476,441,427,399,388,364,339,304,304,297,297,304,416,416,416,416,420,423,434,437,448,444,458,476,787,685,357,367,378,465,437,441,458,343,497,,,,,,,,,,,
West Dublin/Pleasanton,129,0,129,315,294,259,241,129,238,255,269,287,350,336,325,311,308,301,465,430,416,388,378,353,329,294,294,287,287,294,402,402,402,402,409,413,423,427,434,434,444,462,776,675,346,357,367,420,430,430,448,332,486,,,,,,,,,,,
Castro Valley,129,129,0,252,224,178,129,129,129,171,192,224,287,273,259,248,245,238,402,367,353,325,315,290,266,231,231,224,224,231,339,339,339,339,346,350,360,364,371,371,381,399,710,591,283,294,304,357,367,367,385,269,423,,,,,,,,,,,
Fremont,325,315,252,0,129,129,129,129,248,269,283,301,360,350,336,322,322,315,476,441,427,399,392,367,339,304,304,301,301,308,416,416,416,416,420,423,434,441,448,444,458,476,787,689,129,157,182,241,252,245,269,147,497,,,,,,,,,,,
Union City,304,294,224,129,0,129,129,129,220,245,259,276,339,325,315,301,297,290,455,420,406,378,367,343,318,283,283,276,276,283,392,392,392,392,399,402,413,416,423,423,434,451,766,665,129,157,182,266,273,273,290,129,476,,,,,,,,,,,
South Hayward,269,259,178,129,129,0,129,129,171,203,224,245,304,294,280,269,266,259,420,385,371,343,336,311,283,248,248,245,245,252,360,360,360,360,364,367,378,385,392,388,402,420,731,623,129,157,182,301,308,308,325,129,441,,,,,,,,,,,
Hayward,252,241,129,129,129,129,0,129,129,171,192,224,287,273,262,248,245,238,399,364,353,325,315,290,262,231,231,224,224,231,339,339,339,339,346,350,357,364,371,371,381,399,713,591,129,157,182,318,325,329,343,129,423,,,,,,,,,,,
Bay Fair,129,129,129,129,129,129,129,0,129,129,164,192,266,252,241,227,227,220,381,346,332,304,294,273,245,210,206,192,192,206,322,322,322,322,325,329,339,343,353,350,364,381,692,549,161,171,182,336,350,350,364,147,402,,,,,,,,,,,
San Leandro,248,238,129,248,220,171,129,129,0,129,129,168,252,238,224,213,210,199,364,332,318,290,280,255,231,185,182,168,168,178,304,304,304,304,311,315,325,329,336,336,346,364,675,549,280,290,301,353,364,364,381,266,388,,,,,,,,,,,
Coliseum/Oakland Airport,266,255,171,269,245,203,171,129,129,0,129,129,231,217,206,185,175,164,346,311,297,269,259,234,210,154,150,129,129,147,283,283,283,283,290,294,304,308,318,315,329,346,658,420,301,311,322,371,385,385,399,287,367,,,,,,,,,,,
Fruitvale,280,269,192,283,259,224,192,164,129,129,0,129,217,203,185,164,154,143,332,297,283,255,248,224,185,133,129,129,129,129,262,262,262,262,273,280,290,297,304,301,315,332,644,549,315,325,336,385,399,399,413,301,353,,,,,,,,,,,
Lake Merritt,297,287,224,301,276,245,224,192,168,129,129,0,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,129,129,129,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,,,,,,,,,,,
Richmond,360,350,287,360,339,304,287,266,252,231,217,196,0,129,129,129,129,129,364,329,315,290,276,255,227,185,182,196,196,206,315,315,315,315,322,325,336,339,350,346,360,378,689,651,392,402,413,465,476,476,490,378,399,,,,,,,,,,,
El Cerrito Del Norte,346,336,273,350,325,294,273,252,238,217,203,171,129,0,129,129,129,129,350,315,301,273,266,241,217,161,157,171,171,182,301,301,301,301,308,311,322,325,332,332,343,360,675,637,381,392,402,455,465,465,476,367,385,,,,,,,,,,,
El Cerrito Plaza,336,325,259,336,315,280,262,241,224,206,185,154,129,129,0,129,129,129,339,304,290,262,252,231,199,143,140,154,154,164,290,290,290,290,297,301,311,315,322,322,332,350,661,626,367,378,388,437,451,451,465,353,374,,,,,,,,,,,
North Berkeley,322,311,248,322,301,269,248,227,213,185,164,133,129,129,129,0,129,129,325,294,280,252,241,217,178,129,129,133,133,143,280,280,280,280,283,287,297,301,311,308,322,339,651,605,353,364,374,427,434,434,455,339,360,,,,,,,,,,,
Berkeley,318,308,245,322,297,266,245,227,210,175,154,129,129,129,129,129,0,129,322,287,273,248,238,210,168,129,129,129,129,136,273,273,273,273,280,283,294,297,308,304,318,332,647,595,353,364,374,423,430,430,451,339,357,,,,,,,,,,,
Ashby,315,301,238,315,290,259,238,220,199,164,143,129,129,129,129,129,129,0,322,287,273,245,231,199,157,129,129,129,129,129,262,262,262,262,273,276,287,294,301,297,311,329,640,584,346,357,367,420,427,427,444,332,350,,,,,,,,,,,
Pittsburg/ Bay Point,476,465,402,476,455,420,399,381,364,346,332,322,364,350,339,325,322,322,0,129,129,129,129,248,273,311,322,322,322,332,441,441,441,441,448,451,462,465,476,472,486,504,815,766,507,518,528,577,602,602,605,493,525,,,,,,,,,,,
