,node_from,node_to,fare,name_from,name_to,new_fare,output
0,18013, 15536,441,Hyde,Pittsburg/ Bay Point,476,18013   15536  476 ;  Hyde to Pittsburg/ Bay Point
1,18013, 15539,234,Hyde,Colma,234,18013   15539  234 ;  Hyde to Colma
2,18013, 18008,129,Hyde,Van Ness,129,18013   18008  129 ;  Hyde to Van Ness
3,18013, 15544,448,Hyde,Warm Springs,483,18013   15544  483 ;  Hyde to Warm Springs
4,18013, 15520,315,Hyde,Richmond,350,18013   15520  350 ;  Hyde to Richmond
5,18013, 15537,339,Hyde,Castro Valley,374,18013   15537  374 ;  Hyde to Castro Valley
6,18013, 15527,392,Hyde,Union City,427,18013   15527  427 ;  Hyde to Union City
7,18013, 15509,231,Hyde,12th St Oakland City Center,266,18013   15509  266 ;  Hyde to 12th St Oakland City Center
8,18013, 14204,521,Hyde,Alum Rock,556,18013   14204  556 ;  Hyde to Alum Rock
9,18013, 18010,129,Hyde,4th/Brannan,129,18013   18010  129 ;  Hyde to 4th/Brannan
10,18013, 15502,367,Hyde,Pleasant Hill,402,18013   15502  402 ;  Hyde to Pleasant Hill
11,18013, 15507,245,Hyde,MacArthur,280,18013   15507  280 ;  Hyde to MacArthur
12,18013, 14208,546,Hyde,Santa Clara,581,18013   14208  581 ;  Hyde to Santa Clara
13,18013, 15506,262,Hyde,Rockridge,297,18013   15506  297 ;  Hyde to Rockridge
14,18013, 15503,357,Hyde,Walnut Creek,392,18013   15503  392 ;  Hyde to Walnut Creek
15,18013, 15512,129,Hyde,Montgomery,129,18013   15512  129 ;  Hyde to Montgomery
16,18013, 15528,360,Hyde,South Hayward,395,18013   15528  395 ;  Hyde to South Hayward
17,18013, 15515,129,Hyde,16th St Mission,129,18013   15515  129 ;  Hyde to 16th St Mission
18,18013, 15541,280,Hyde,San Bruno,280,18013   15541  280 ;  Hyde to San Bruno
19,18013, 15519,206,Hyde,Daly City,206,18013   15519  206 ;  Hyde to Daly City
20,18013, 15535,406,Hyde,North Concord,441,18013   15535  441 ;  Hyde to North Concord
21,18013, 14202,458,Hyde,Milpitas,493,18013   14202  493 ;  Hyde to Milpitas
22,18013, 15534,231,Hyde,Lake Merritt,266,18013   15534  266 ;  Hyde to Lake Merritt
23,18013, 15501,395,Hyde,Concord,430,18013   15501  430 ;  Hyde to Concord
24,18013, 15525,262,Hyde,Ashby,297,18013   15525  297 ;  Hyde to Ashby
25,18013, 14207,532,Hyde,Diridon-Caltrain,567,18013   14207  567 ;  Hyde to Diridon-Caltrain
26,18013, 15510,217,Hyde,West Oakland,252,18013   15510  252 ;  Hyde to West Oakland
27,18013, 14203,469,Hyde,Berryessa,504,18013   14203  504 ;  Hyde to Berryessa
28,18013, 15514,129,Hyde,Civic Center,129,18013   15514  129 ;  Hyde to Civic Center
29,18013, 18009,129,Hyde,Fillmore,129,18013   18009  129 ;  Hyde to Fillmore
30,18013, 15523,273,Hyde,Berkeley,308,18013   15523  308 ;  Hyde to Berkeley
31,18013, 15516,129,Hyde,24th St Mission,129,18013   15516  129 ;  Hyde to 24th St Mission
32,18013, 15529,339,Hyde,Hayward,374,18013   15529  374 ;  Hyde to Hayward
33,18013, 15522,290,Hyde,Plaza,290,18013   15522  290 ;  Hyde to Plaza
34,18013, 15518,129,Hyde,Balboa Park,129,18013   15518  129 ;  Hyde to Balboa Park
35,18013, 15549,434,Hyde,Irvington,469,18013   15549  469 ;  Hyde to Irvington
36,18013, 15000,703,Hyde,Oakland International Airport,738,18013   15000  738 ;  Hyde to Oakland International Airport
37,18013, 15524,280,Hyde,North Berkeley,315,18013   15524  315 ;  Hyde to North Berkeley
38,18013, 15508,231,Hyde,19th St Oakland,266,18013   15508  266 ;  Hyde to 19th St Oakland
39,18013, 18003,231,Hyde,Alameda,266,18013   18003  266 ;  Hyde to Alameda
40,18013, 15538,416,Hyde,Dublin/ Pleasanton,451,18013   15538  451 ;  Hyde to Dublin/ Pleasanton
41,18013, 15531,304,Hyde,San Leandro,339,18013   15531  339 ;  Hyde to San Leandro
42,18013, 18011,129,Hyde,6th/Brannan,129,18013   18011  129 ;  Hyde to 6th/Brannan
43,18013, 15543,315,Hyde,Millbrae,315,18013   15543  315 ;  Hyde to Millbrae
44,18013, 15504,332,Hyde,Lafayette,367,18013   15504  367 ;  Hyde to Lafayette
45,18013, 15526,416,Hyde,Fremont,451,18013   15526  451 ;  Hyde to Fremont
