,fare,name_from,name_to,node_from,node_to,key,
0,129,Dublin/ Pleasanton,West Dublin/Pleasanton,15538,15545,1553815545,15538   15545   129  ;Dublin/ Pleasanton to West Dublin/Pleasanton
1,129,Dublin/ Pleasanton,Castro Valley,15538,15537,1553715538,15538   15537   129  ;Dublin/ Pleasanton to Castro Valley
2,325,Dublin/ Pleasanton,Fremont,15538,15526,1552615538,15538   15526   325  ;Dublin/ Pleasanton to Fremont
3,304,Dublin/ Pleasanton,Union City,15538,15527,1552715538,15538   15527   304  ;Dublin/ Pleasanton to Union City
4,269,Dublin/ Pleasanton,South Hayward,15538,15528,1552815538,15538   15528   269  ;Dublin/ Pleasanton to South Hayward
5,252,Dublin/ Pleasanton,Hayward,15538,15529,1552915538,15538   15529   252  ;Dublin/ Pleasanton to Hayward
6,129,Dublin/ Pleasanton,Bay Fair,15538,15530,1553015538,15538   15530   129  ;Dublin/ Pleasanton to Bay Fair
7,248,Dublin/ Pleasanton,San Leandro,15538,15531,1553115538,15538   15531   248  ;Dublin/ Pleasanton to San Leandro
8,266,Dublin/ Pleasanton,Coliseum/Oakland Airport,15538,15532,1553215538,15538   15532   266  ;Dublin/ Pleasanton to Coliseum/Oakland Airport
9,280,Dublin/ Pleasanton,Fruitvale,15538,15533,1553315538,15538   15533   280  ;Dublin/ Pleasanton to Fruitvale
10,297,Dublin/ Pleasanton,Lake Merritt,15538,15534,1553415538,15538   15534   297  ;Dublin/ Pleasanton to Lake Merritt
11,360,Dublin/ Pleasanton,Richmond,15538,15520,1552015538,15538   15520   360  ;Dublin/ Pleasanton to Richmond
12,346,Dublin/ Pleasanton,El Cerrito Del Norte,15538,15521,1552115538,15538   15521   346  ;Dublin/ Pleasanton to El Cerrito Del Norte
13,336,Dublin/ Pleasanton,El Cerrito Plaza,15538,15522,1552215538,15538   15522   336  ;Dublin/ Pleasanton to El Cerrito Plaza
14,322,Dublin/ Pleasanton,North Berkeley,15538,15524,1552415538,15538   15524   322  ;Dublin/ Pleasanton to North Berkeley
15,318,Dublin/ Pleasanton,Berkeley,15538,15523,1552315538,15538   15523   318  ;Dublin/ Pleasanton to Berkeley
16,315,Dublin/ Pleasanton,Ashby,15538,15525,1552515538,15538   15525   315  ;Dublin/ Pleasanton to Ashby
17,476,Dublin/ Pleasanton,Pittsburg/ Bay Point,15538,15536,1553615538,15538   15536   476  ;Dublin/ Pleasanton to Pittsburg/ Bay Point
18,441,Dublin/ Pleasanton,North Concord,15538,15535,1553515538,15538   15535   441  ;Dublin/ Pleasanton to North Concord
19,427,Dublin/ Pleasanton,Concord,15538,15501,1550115538,15538   15501   427  ;Dublin/ Pleasanton to Concord
20,399,Dublin/ Pleasanton,Pleasant Hill,15538,15502,1550215538,15538   15502   399  ;Dublin/ Pleasanton to Pleasant Hill
21,388,Dublin/ Pleasanton,Walnut Creek,15538,15503,1550315538,15538   15503   388  ;Dublin/ Pleasanton to Walnut Creek
22,364,Dublin/ Pleasanton,Lafayette,15538,15504,1550415538,15538   15504   364  ;Dublin/ Pleasanton to Lafayette
23,339,Dublin/ Pleasanton,Orinda,15538,15505,1550515538,15538   15505   339  ;Dublin/ Pleasanton to Orinda
24,304,Dublin/ Pleasanton,Rockridge,15538,15506,1550615538,15538   15506   304  ;Dublin/ Pleasanton to Rockridge
25,304,Dublin/ Pleasanton,MacArthur,15538,15507,1550715538,15538   15507   304  ;Dublin/ Pleasanton to MacArthur
26,297,Dublin/ Pleasanton,19th St Oakland,15538,15508,1550815538,15538   15508   297  ;Dublin/ Pleasanton to 19th St Oakland
27,297,Dublin/ Pleasanton,12th St Oakland City Center,15538,15509,1550915538,15538   15509   297  ;Dublin/ Pleasanton to 12th St Oakland City Center
28,304,Dublin/ Pleasanton,West Oakland,15538,15510,1551015538,15538   15510   304  ;Dublin/ Pleasanton to West Oakland
29,416,Dublin/ Pleasanton,Embarcadero,15538,15511,1551115538,15538   15511   416  ;Dublin/ Pleasanton to Embarcadero
30,416,Dublin/ Pleasanton,Montgomery,15538,15512,1551215538,15538   15512   416  ;Dublin/ Pleasanton to Montgomery
31,416,Dublin/ Pleasanton,Powell,15538,15513,1551315538,15538   15513   416  ;Dublin/ Pleasanton to Powell
32,416,Dublin/ Pleasanton,Civic Center,15538,15514,1551415538,15538   15514   416  ;Dublin/ Pleasanton to Civic Center
